"GO","Selected_genes","Background_genes","pvalue","padj","Description","Enrichment"
"GO:0008194",18,126,1.268e-06,0.001842,"UDP-glycosyltransferase activity",3.77
"GO:0080043",17,119,2.489e-06,0.001842,"quercetin 3-O-glucosyltransferase activity",3.77
"GO:0035251",17,130,8.442e-06,0.00384,"UDP-glucosyltransferase activity",3.45
"GO:0022857",17,132,1.038e-05,0.00384,"transmembrane transporter activity",3.4
"GO:0015578",7,27,4.971e-05,0.01148,"mannose transmembrane transporter activity",6.85
"GO:0047893",12,81,5.125e-05,0.01148,"flavonol 3-O-glucosyltransferase activity",3.91
"GO:0004497",18,166,6.075e-05,0.01148,"monooxygenase activity",2.86
"GO:0047213",10,60,7.756e-05,0.01148,"anthocyanidin 3-O-glucosyltransferase activity",4.4
"GO:0080059",10,60,7.756e-05,0.01148,"flavonol 3-O-arabinosyltransferase activity",4.4
"GO:0102454",10,60,7.756e-05,0.01148,"cyanidin 3-O-galactosyltransferase activity",4.4
"GO:0004674",45,674,0.0001743,0.02102,"protein serine/threonine kinase activity",1.76
"GO:0042910",10,66,0.000177,0.02102,"xenobiotic transmembrane transporter activity",4
"GO:0034046",19,197,0.0001846,0.02102,"poly(G) binding",2.55
"GO:0005385",5,16,0.0002371,0.02359,"zinc ion transmembrane transporter activity",8.25
"GO:0005354",7,34,0.000239,0.02359,"galactose transmembrane transporter activity",5.44
"GO:1901363",8,46,0.0002969,0.02747,"heterocyclic compound binding",4.59
"GO:0140752",4,11,0.0005443,0.03863,"branched 1,3-beta-D-glucan synthase activity",9.6
"GO:0009674",4,11,0.0005443,0.03863,"potassium:sodium symporter activity",9.6
"GO:0015128",5,19,0.0005742,0.03863,"gluconate transmembrane transporter activity",6.95
"GO:0015146",5,19,0.0005742,0.03863,"pentose transmembrane transporter activity",6.95
"GO:0015149",5,19,0.0005742,0.03863,"hexose transmembrane transporter activity",6.95
"GO:0140108",5,19,0.0005742,0.03863,"high-affinity D-glucose transmembrane transporter activity",6.95
"GO:0005313",5,20,0.0007419,0.04392,"L-glutamate transmembrane transporter activity",6.6
"GO:0005358",5,20,0.0007419,0.04392,"high-affinity D-glucose:proton symporter activity",6.6
"GO:0015137",5,20,0.0007419,0.04392,"citrate transmembrane transporter activity",6.6
