"Pathway","Selected_genes","Background_genes","pvalue","padj","Enrichment","Description"
"00944",23,175,2.075e-07,4.314e-05,3.47,"Flavone and flavonol biosynthesis - Oryza sativa japonica (Japanese rice)"
"00904",24,192,2.925e-07,4.314e-05,3.3,"Diterpenoid biosynthesis"
"00460",30,281,3.406e-07,4.314e-05,2.82,"Cyanoamino acid metabolism - Oryza sativa japonica (Japanese rice)"
"01110",144,2589,9.212e-07,8.751e-05,1.47,"Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)"
"00999",23,209,4.733e-06,0.0003597,2.91,"Biosynthesis of various plant secondary metabolites"
"00902",14,89,6.068e-06,0.0003843,4.15,"Monoterpenoid biosynthesis - Oryza sativa japonica (Japanese rice)"
"04016",65,1015,2.396e-05,0.001301,1.69,"MAPK signaling pathway - plant - Oryza sativa japonica (Japanese rice)"
"00981",10,54,3.021e-05,0.001435,4.89,"KEGG pathway 00981"
"00996",15,118,3.966e-05,0.001675,3.36,"KEGG pathway 00996"
"00402",10,64,0.000136,0.005167,4.13,"Benzoxazinoid biosynthesis - Oryza sativa japonica (Japanese rice)"
"00905",14,119,0.0001653,0.005709,3.11,"Brassinosteroid biosynthesis - Oryza sativa japonica (Japanese rice)"
"00592",10,67,0.000201,0.006366,3.94,"alpha-Linolenic acid metabolism - Oryza sativa japonica (Japanese rice)"
"00942",15,139,0.0002572,0.007519,2.85,"Anthocyanin biosynthesis - Oryza sativa japonica (Japanese rice)"
"00966",12,100,0.0003956,0.01074,3.17,"Glucosinolate biosynthesis - Oryza sativa japonica (Japanese rice)"
"00945",18,200,0.0006225,0.01577,2.38,"Stilbenoid, diarylheptanoid and gingerol biosynthesis - Oryza sativa japonica (Japanese rice)"
"00941",20,239,0.0008059,0.01914,2.21,"Flavonoid biosynthesis - Oryza sativa japonica (Japanese rice)"
"00943",17,189,0.0008772,0.01951,2.37,"KEGG pathway 00943"
"00950",11,95,0.000924,0.01951,3.06,"Isoquinoline alkaloid biosynthesis - Oryza sativa japonica (Japanese rice)"
"04075",68,1238,0.001292,0.02584,1.45,"Plant hormone signal transduction - Oryza sativa japonica (Japanese rice)"
"00909",10,89,0.001957,0.03719,2.97,"Sesquiterpenoid and triterpenoid biosynthesis - Oryza sativa japonica (Japanese rice)"
"00130",11,105,0.002099,0.03797,2.77,"Ubiquinone and other terpenoid-quinone biosynthesis - Oryza sativa japonica (Japanese rice)"
"00073",12,123,0.002465,0.0422,2.58,"Cutin, suberine and wax biosynthesis - Oryza sativa japonica (Japanese rice)"
"00910",16,191,0.002554,0.0422,2.21,"Nitrogen metabolism - Oryza sativa japonica (Japanese rice)"
"00520",30,458,0.002679,0.04242,1.73,"Amino sugar and nucleotide sugar metabolism - Oryza sativa japonica (Japanese rice)"
"00960",11,110,0.003031,0.04607,2.64,"Tropane, piperidine and pyridine alkaloid biosynthesis - Oryza sativa japonica (Japanese rice)"
