"gene_id","module"
"Os08g0509100","Module_2"
"Os08g0111200","Module_2"
"Os08g0547350","Module_2"
"Os07g0232800","Module_2"
"Os08g0547300","Module_2"
"Os09g0528700","Module_2"
"Os09g0528500","Module_2"
"Os10g0328600","Module_2"
"Os05g0475700","Module_2"
"Os01g0825800","Module_2"
"Os11g0171350","Module_2"
"Os10g0328700","Module_2"
"Os11g0118300","Module_2"
"Os10g0138100","Module_2"
"Os01g0357150","Module_2"
"Os01g0357100","Module_2"
"Os08g0562600","Module_2"
"Os06g0699100","Module_2"
"Os02g0140400","Module_2"
"Os02g0704000","Module_2"
"Os06g0699050","Module_2"
"Os02g0132500","Module_2"
"Os03g0618300","Module_2"
"Os11g0118350","Module_2"
"Os11g0599200","Module_2"
"Os05g0355450","Module_2"
"Os05g0161500","Module_2"
"Os02g0621800","Module_2"
"Os03g0364400","Module_2"
"Os02g0779200","Module_2"
"Os02g0704131","Module_2"
"Os04g0546800","Module_2"
"Os07g0492000","Module_2"
"Os06g0716100","Module_2"
"Os11g0158832","Module_2"
"Os07g0559700","Module_2"
"Os05g0355400","Module_2"
"Os12g0514000","Module_2"
"Os04g0683700","Module_2"
"Os07g0421866","Module_2"
"Os01g0693400","Module_2"
"Os12g0583300","Module_2"
"Os03g0575200","Module_2"
"Os02g0744851","Module_2"
"Os12g0117400","Module_2"
"Os06g0131300","Module_2"
"Os05g0343400","Module_2"
"Os06g0131350","Module_2"
"Os03g0242300","Module_2"
"Os02g0705100","Module_2"
"Os03g0229500","Module_2"
"Os02g0257400","Module_2"
"Os04g0605300","Module_2"
"Os06g0246000","Module_2"
"Os03g0371300","Module_2"
"Os07g0108350","Module_2"
"Os04g0304250","Module_2"
"Os01g0945400","Module_2"
"Os01g0673700","Module_2"
"Os12g0189300","Module_2"
"Os03g0228200","Module_2"
"Os09g0294000","Module_2"
"Os01g0945300","Module_2"
"Os10g0331600","Module_2"
"Os02g0574100","Module_2"
"Os08g0207401","Module_2"
"Os03g0197125","Module_2"
"Os03g0618366","Module_2"
"Os12g0117500","Module_2"
"Os10g0138150","Module_2"
"Os02g0131050","Module_2"
"Os05g0455500","Module_2"
"Os05g0376400","Module_2"
"Os12g0194900","Module_2"
"Os03g0225100","Module_2"
"Os09g0553900","Module_2"
"Os12g0484600","Module_2"
"Os02g0574300","Module_2"
"Os04g0453400","Module_2"
"Os01g0209800","Module_2"
"Os07g0619400","Module_2"
"Os04g0684000","Module_2"
"Os02g0755900","Module_2"
"Os03g0242350","Module_2"
"Os05g0317900","Module_2"
"Os01g0849000","Module_2"
"Os12g0101800","Module_2"
"Os05g0439000","Module_2"
"Os01g0209901","Module_2"
"Os04g0453450","Module_2"
"Os01g0126200","Module_2"
"Os03g0219400","Module_2"
"Os01g0678100","Module_2"
"Os03g0634400","Module_2"
"Os03g0362200","Module_2"
"Os08g0207500","Module_2"
"Os12g0190000","Module_2"
"Os11g0102301","Module_2"
"Os09g0553100","Module_2"
"Os02g0755500","Module_2"
"Os07g0479350","Module_2"
"Os04g0401700","Module_2"
"Os05g0497300","Module_2"
"Os07g0217600","Module_2"
"Os10g0505700","Module_2"
"Os03g0764100","Module_2"
"Os03g0279950","Module_2"
"Os10g0561800","Module_2"
"Os02g0799700","Module_2"
"Os10g0539700","Module_2"
"Os02g0651900","Module_2"
"Os01g0323775","Module_2"
"Os11g0629600","Module_2"
"Os03g0371350","Module_2"
"Os04g0118700","Module_2"
"Os05g0424000","Module_2"
"Os04g0635450","Module_2"
"Os01g0825500","Module_2"
"Os12g0105401","Module_2"
"Os09g0494500","Module_2"
"Os08g0152366","Module_2"
"Os01g0323600","Module_2"
"Os12g0104766","Module_2"
"Os02g0630300","Module_2"
"Os01g0910500","Module_2"
"Os06g0555101","Module_2"
"Os11g0537375","Module_2"
"Os10g0557900","Module_2"
"Os02g0664100","Module_2"
"Os08g0190300","Module_2"
"Os03g0845000","Module_2"
"Os01g0525700","Module_2"
"Os04g0565400","Module_2"
"Os02g0787600","Module_2"
"Os02g0134300","Module_2"
"Os01g0667200","Module_2"
"Os09g0491652","Module_2"
"Os03g0628800","Module_2"
"Os03g0183000","Module_2"
"Os02g0278450","Module_2"
"Os05g0395025","Module_2"
"Os01g0369900","Module_2"
"Os04g0530600","Module_2"
"Os02g0278400","Module_2"
"Os03g0327100","Module_2"
"Os02g0671200","Module_2"
"Os03g0206750","Module_2"
"Os03g0639350","Module_2"
"Os03g0625300","Module_2"
"Os01g0652650","Module_2"
"Os03g0838100","Module_2"
"Os01g0749400","Module_2"
"Os01g0635550","Module_2"
"Os09g0530500","Module_2"
"Os01g0711200","Module_2"
"Os01g0661500","Module_2"
"Os01g0247550","Module_2"
"Os08g0364900","Module_2"
"Os05g0410900","Module_2"
"Os12g0202850","Module_2"
"Os07g0617000","Module_2"
"Os09g0450300","Module_2"
"Os10g0331500","Module_2"
"Os04g0423200","Module_2"
"Os09g0484800","Module_2"
"Os04g0197100","Module_2"
"Os01g0854000","Module_2"
"Os10g0512400","Module_2"
"Os10g0540300","Module_2"
"Os12g0101901","Module_2"
"Os07g0162600","Module_2"
"Os12g0580400","Module_2"
"Os07g0468100","Module_2"
"Os03g0327800","Module_2"
"Os03g0366350","Module_2"
"Os06g0105350","Module_2"
"Os07g0480900","Module_2"
"Os07g0575550","Module_2"
"Os02g0772100","Module_2"
"Os08g0554501","Module_2"
"Os09g0522200","Module_2"
"Os02g0269200","Module_2"
"Os10g0519300","Module_2"
"Os03g0127950","Module_2"
"Os06g0228500","Module_2"
"Os05g0578100","Module_2"
"Os09g0277800","Module_2"
"Os01g0925100","Module_2"
"Os05g0268500","Module_2"
"Os02g0275200","Module_2"
"Os07g0666900","Module_2"
"Os06g0717200","Module_2"
"Os03g0625201","Module_2"
"Os07g0106200","Module_2"
"Os04g0614650","Module_2"
"Os04g0266900","Module_2"
"Os01g0286550","Module_2"
"Os06g0216300","Module_2"
"Os01g0242600","Module_2"
"Os04g0401751","Module_2"
"Os07g0605400","Module_2"
"Os09g0522000","Module_2"
"Os05g0424100","Module_2"
"Os01g0934100","Module_2"
"Os05g0439400","Module_2"
"Os05g0100500","Module_2"
"Os06g0183600","Module_2"
"Os02g0681200","Module_2"
"Os11g0488900","Module_2"
"Os03g0254200","Module_2"
"Os07g0178800","Module_2"
"Os06g0651000","Module_2"
"Os01g0965300","Module_2"
"Os10g0522700","Module_2"
"Os01g0186950","Module_2"
"Os03g0645966","Module_2"
"Os01g0232000","Module_2"
"Os12g0617250","Module_2"
"Os12g0169950","Module_2"
"Os08g0249000","Module_2"
"Os01g0124650","Module_2"
"Os07g0188750","Module_2"
"Os04g0430200","Module_2"
"Os06g0192800","Module_2"
"Os06g0612951","Module_2"
"Os08g0190250","Module_2"
"Os02g0628600","Module_2"
"Os08g0468700","Module_2"
"Os12g0104733","Module_2"
"Os01g0734800","Module_2"
"Os04g0610400","Module_2"
"Os05g0392050","Module_2"
"Os10g0439986","Module_2"
"Os05g0463500","Module_2"
"Os03g0689300","Module_2"
"Os02g0106966","Module_2"
"Os06g0288100","Module_2"
"Os02g0193200","Module_2"
"Os06g0554200","Module_2"
"Os03g0195500","Module_2"
"Os09g0451133","Module_2"
"Os01g0559900","Module_2"
"Os02g0630475","Module_2"
"Os09g0469950","Module_2"
"Os12g0622850","Module_2"
"Os11g0214900","Module_2"
"Os07g0111900","Module_2"
"Os11g0177400","Module_2"
"Os02g0830801","Module_2"
"Os05g0255800","Module_2"
"Os01g0733200","Module_2"
"Os08g0179100","Module_2"
"Os12g0489100","Module_2"
"Os08g0556450","Module_2"
"Os07g0540600","Module_2"
"Os02g0638650","Module_2"
"Os07g0225300","Module_2"
"Os11g0617700","Module_2"
"Os12g0113600","Module_2"
"Os05g0304501","Module_2"
"Os01g0590700","Module_2"
"Os03g0639200","Module_2"
"Os01g0151500","Module_2"
"Os03g0749401","Module_2"
"Os05g0462400","Module_2"
"Os02g0134200","Module_2"
"Os07g0231800","Module_2"
"Os03g0183050","Module_2"
"Os07g0526700","Module_2"
"Os12g0210200","Module_2"
"Os09g0425200","Module_2"
"Os02g0753300","Module_2"
"Os06g0105300","Module_2"
"Os08g0256000","Module_2"
"Os03g0688300","Module_2"
"Os11g0492300","Module_2"
"Os10g0551200","Module_2"
"Os02g0772150","Module_2"
"Os10g0522200","Module_2"
"Os10g0100700","Module_2"
"Os12g0617400","Module_2"
"Os04g0688500","Module_2"
"Os05g0476700","Module_2"
"Os08g0482700","Module_2"
"Os08g0112700","Module_2"
"Os06g0178500","Module_2"
"Os08g0556400","Module_2"
"Os06g0590800","Module_2"
"Os03g0688450","Module_2"
"Os01g0231950","Module_2"
"Os01g0595600","Module_2"
"Os08g0224500","Module_2"
"Os02g0742051","Module_2"
"Os06g0698300","Module_2"
"Os11g0104833","Module_2"
"Os06g0120200","Module_2"
"Os03g0570800","Module_2"
"Os01g0948900","Module_2"
