"gene_id","Preferred_name","log2FoldChange","padj","Specific_GO_count","Relevant_KEGG_count"
"Os03g0850200","CYP703A2_1",1.15378697517322,2.56784874576147e-05,7,10
"Os03g0367200","LOC123088337",5.76560061313907,0.000455492850311121,6,3
"Os11g0308800","LOC102709137",4.25123330094636,1.41596394765608e-07,6,3
"Os07g0535800","OJ1058_A12.113",1.03061696958612,0.0146394138781499,6,3
"Os07g0519300","CYP716M1",2.50189530557648,0.0283295601013808,6,2
"Os02g0278400","LOC123169264",-1.63017740426476,1.63490916037325e-28,7,10
"Os01g0711200","LOC102708938",-1.22194986764999,1.74100913472145e-18,7,3
"Os07g0293000","LOC101766296",-1.64040178966525,5.46321531665429e-05,6,9
"Os04g0480700","LOC101757630",-1.29513828738745,5.87191746127796e-05,6,9
"Os07g0541900","OJ1008_E09.124",-3.64821709673187,1.74643542062036e-07,6,3
"Os07g0542400","LOC102716985",-2.30276412986141,2.39751540935019e-07,6,3
"Os12g0611100","BnaC01g36560D",-1.70059490774572,2.09176381023902e-32,6,3
"Os03g0283500","LOC123092516",-1.5406758203095,0.000115802770403868,6,3
"Os07g0534700","OJ1131_E05.116",-1.39861993901258,1.86764836686526e-07,6,3
"Os12g0163600","LOC102712405",-1.26728756808828,0.00140733281378701,6,3
