"gene_id","Water","Drought","MeanDecreaseAccuracy","MeanDecreaseGini","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","seed_ortholog","evalue","score","eggNOG_OGs","tax_ceiling","farthest_donor_lineage","COG_category","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs","annotation_confidence"
"Os06g0554200",1.41705050316284,1.41705050316284,1.41705050316284,0.00866666666666667,363.779780009053,-1.16266911504412,0.134254568433364,-8.66018287952114,4.71007997545008e-18,1.14241656763039e-16,"Down","39947.A0A0P0WXZ6","1.15e-219","610","DUF1677@131567|A-1*,DUF1677@4479|Gt-13,DUF1677@3193|V-5,DUF1677@3398|BY-9,DUF1677@1437183|Dz-11!","Eukaryota","1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4529","S","LOC100821901","GO:0003674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUF1677_87_154","ml----------h"
"Os02g0766700",1.34406227991274,1.41705050316284,1.40275209380409,0.00933333333333333,501.061429660534,1.3865200393684,0.11471707144433,12.0864316174707,1.24581075140293e-33,7.03248979250023e-32,"Up","39947.Q6Z312","8.56e-216","601","bZIP_1@3193|AIo-24,bZIP_1@35493|AAI-23,bZIP_1@4479|BZq-29,bZIP_1@33090|aa-18,bZIP_1@131567|BO-8!","Eukaryota","1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91836;41938;3629;214907;3633;3635","S","BZIP23","GO:0003700,GO:0005634,GO:0009414,GO:0009651,GO:0009738",NA,"K14432","04075",NA,NA,NA,"00001,03000",NA,NA,NA,"bZIP_1_277_327","hh-hh---h---h"
"Os04g0197200",1.41705050316284,1.34406227991274,1.38942503594182,0.00866666666666667,23.4581488901693,-1.16548455002515,0.45623159850298,-2.55458971682239,0.010631302809621,0.0323051332071442,"Down","39947.Q0JEV4","1.699999999988e-313","855","Pkinase|3QGHB3@131567,Pkinase|3QGHB3@4479","Eukaryota","1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;72025;3803;3814;2231393;2231382;2233838;2233839;163742;3877;3880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pkinase_98_300","------------h"
"Os04g0401000",1.34406227991274,1.34406227991274,1.34406227991274,0.0106666666666667,555.250434847875,2.33286704390799,0.11155339819567,20.9125592016124,4.11555188310632e-97,1.30777441355202e-94,"Up","39947.Q7XL73","1.18e-85;6.43e-73","264;229","UNK.DPYY@2759|A-1,UNK.DPYY@4479|L-4","Eukaryota","1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;85604;7088;41191;41196;41197;37567;104431;37570;7100;95178;7101;7102","S","PI21","GO:0050832,GO:1900150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hh-----------"
"Os01g0555100",1.00100150250438,1.00100150250438,1.00100150250438,0.006,11.7421028392661,2.48776585962385,0.737695325970294,3.37234868114648,0.000745300280206926,0.00320331872713254,"Up","39947.Q8RYZ5","8.38e-81","242","zf-RanBP@58023|AZr-22,zf-RanBP@131567|Fi-10","Eukaryota","1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903","COG3277","LOC100825710",NA,NA,"K14404","03015",NA,NA,NA,"00001,03019,03021",NA,NA,NA,"zf-RanBP_106_136,zf-RanBP_12_36","l--ll---l---h"
"Os01g0652650",1.00100150250438,1.00100150250438,1.00100150250438,0.006,966.10072553702,1.02508725982848,0.0844255819373339,12.1419033935634,6.33353491784495e-34,3.65548369411373e-32,"Up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Os02g0475500",1.00100150250438,1.00100150250438,1.00100150250438,0.012,17.7867463179706,1.28848395399998,0.530355601852513,2.4294717534789,0.0151208431062953,0.0435515392493264,"Up","39947.A0A0P0VJ01","0","1236","NB-ARC@35493|Ary-24,NB-ARC@1437183|Dlq-32,NB-ARC@3398|CRM-29,NB-ARC@58023|BfR-27,NB-ARC@4527|OgA-46,NB-ARC@1648021|Mhc-44,NB-ARC@4479|KqB-42,NB-ARC@131567|AC-6","Eukaryota","1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720870;454130","COG5635","RPP13","GO:0000139,GO:0000166,GO:0000325,GO:0002229,GO:0002239,GO:0002758,GO:0003677,GO:0003700,GO:0003729,GO:0005515,GO:0005575,GO:0005634,GO:0005737,GO:0005739,GO:0005789,GO:0005829,GO:0005886,GO:0006952,GO:0009409,GO:0009414,GO:0009416,GO:0009506,GO:0009507,GO:0009615,GO:0009626,GO:0009733,GO:0009862,GO:0009941,GO:0010082,GO:0010114,GO:0010193,GO:0012505,GO:0016020,GO:0016301,GO:0030275,GO:0034052,GO:0034644,GO:0042742,GO:0042802,GO:0045088,GO:0046713,GO:0048046,GO:0050832,GO:0051607,GO:0051707,GO:0071456,GO:0140376,GO:2000071","ec:3.1.3.16","K14497,K16225,K16226","04016,04075,04626",NA,NA,NA,"00001,01000",NA,NA,NA,"NB-ARC_14_75","lllll---l---h"
"Os02g0595900",1.00100150250438,1.00100150250438,1.00100150250438,0.00866666666666667,9.10117766030704,1.87008612764296,0.787854576052795,2.37364379732643,0.0176135331570454,0.0495157386893044,"Up","4536.A0A0E0G9A1","1.62e-131","375","NAR2@33090|A-1,NAR2@1648021|Bb-14,NAR2@4479|Ae-12","Eukaryota","1;131567;2759;33090;3041;2302911;2302912;2302913;2302914;1764295","S","LOC100831058","GO:0003674,GO:0005575,GO:0005886,GO:0008150,GO:0009611,GO:0010167,GO:0015112,GO:0015706",NA,"K26563",NA,NA,NA,NA,"00001,02000",NA,NA,NA,"NAR2_37_173","ll-h----h---h"
"Os03g0123800",1.00100150250438,1.00100150250438,1.00100150250438,0.0106666666666667,100.970525075018,-1.29304713763052,0.233329551471406,-5.54172040993693,2.9951426401712e-08,2.90386112467198e-07,"Down","39947.Q8H8G3","1.8e-131","376","UNK.58RD@1437183|A-1,UNK.58RD@4479|o-8","Eukaryota","1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91836;3699;3700;980083;3701;3702","S","LOC123093760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"l------------"
"Os03g0708000",1.00100150250438,1.00100150250438,1.00100150250438,0.00933333333333333,3.94384686231283,5.32243938355382,1.611058407916,3.30369113708219,0.000954208971825879,0.00397788678245986,"Up","40149.A0A0E0D5G2","1.87e-100","293","UNK.LV4U@131567|A-1*,UNK.LV4U@1437183|G-3","Eukaryota","1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147368;1648038;147389;1648030;4564;4572","S","PLA2-III","GO:0004623","ec:3.1.1.4","K01047","00564,00565,00590,00591,00592,01100,01110",NA,NA,NA,"00001,01000,03036",NA,NA,NA,NA,"mmhhh---h----"
